,time,position,num_pre_meetings,covid_meetings,covid_present,meeting_quality,present_quality,post_attend,post_options,climate,cost,info
0,2020/08/20 10:35:17 AM MDT,Post-Doctoral researcher,4,1,0,5.0,5.0,Yes,Yes,,,"If the goal for future virtual meetings is to limit carbon emissions, I suggest mentioning that or at least asking if that is under consideration for people looking at future virtual meetings"
1,2020/08/20 1:05:38 PM MDT,Professor/Investigator,3,1,0,6.0,5.0,Yes,Yes,Yes,3000.0,"A huge challenge for participation in virtual seminars and conferences has been the additional childcare burden of the pandemic - it dramatically restricted the time I had available and that made it exceedingly difficult to ""attend"" a virtual conference... obviously very different from actually attending where you're (often) on your own/without kids and can focus on the conference. This would be a huge drawback of virtual meetings for me - but one that can be overcome with planning and hopefully, a return to some sort of normality with respect to school and childcare."
2,2020/08/21 2:37:48 AM MDT,Post-Doctoral researcher,6,4,2,7.0,8.0,Yes,Yes,,,
3,2020/08/22 3:16:41 PM MDT,Professor/Investigator,2,10,4,4.0,4.0,Yes,Yes,Yes,1500.0,Thanks for doing this!
4,2020/08/24 12:57:00 PM MDT,Post-Doctoral researcher,6,1,0,5.0,4.0,Depends on format of the meeting,Depends on the format,"Has not in the past, but will in the future",3000.0,"I hate virtual meetings but the status quo ante is not sustainable. I hope covid will force us to imagine better ways of meeting that combine the convenience and sustainability of virtual meetings with the social stimulation of in person meetings. There’s probably no single solution but rather a mix of in person, virtual, and hybrid meetings."
5,2020/08/24 1:16:47 PM MDT,Graduate student,2,8,0,8.0,5.0,Depends on cultural shifts in the field,Yes,Yes,800.0,"In virtual meetings it is difficult to establish connections that happen in physical meetings during post-conference dinner/drinks/poster sessions/breaks. I think that post-COVID I would still attend physical meetings that would help me to network, but would like also to able to virtually attend events that are not high in my interest list. Committing to record all future physical meetings is one solution even if virtual participation is not provided. "
6,2020/08/24 7:31:51 PM MDT,Post-Doctoral researcher,3,3,0,10.0,10.0,Yes,Yes,Yes,1000.0,"the only thing I found problematic with virtual meetings was when everyone except for a few had their cameras off... that sort of disconnects the speaker from the audience... if only more people were interested in sharing their videos, or somehow this was more of a norm, things would have become much better."
7,2020/08/24 7:41:37 PM MDT,Professor/Investigator,2,2,1,6.0,4.0,Yes,Yes,Yes,1500.0,
8,2020/08/24 9:58:11 PM MDT,Professor/Investigator,10,10,2,8.0,6.0,Depends on format of the meeting,Yes,Yes,3000.0,
9,2020/08/25 4:57:00 AM MDT,Professor/Investigator,8,10,7,8.0,10.0,Yes,Yes,Yes,1200.0,
10,2020/08/25 5:14:44 AM MDT,Post-Doctoral researcher,6,1,2,4.0,1.0,Depends on format of the meeting,Yes,"Has not in the past, but will in the future",1500.0,
11,2020/08/25 7:37:52 AM MDT,Professor/Investigator,6,2,5,9.0,7.0,Yes,Yes,No,1500.0,
12,2020/08/25 7:44:25 AM MDT,Post-Doctoral researcher,5,1,1,5.0,2.0,No,Yes,"Has not in the past, but will in the future",3500.0,I haven't been able to attend as many virtual meetings as I would like because the coronavirus situation has left us short-staffed in the lab and so I've been covering hours of absent students / other researchers
13,2020/08/25 8:22:56 AM MDT,Post-Doctoral researcher,10,0,0,,,Depends on format of the meeting,Yes,No,3000.0,
14,2020/08/25 9:08:55 AM MDT,Graduate student,2,3,1,10.0,8.0,Yes,Yes,"Has not in the past, but will in the future",2000.0,
15,2020/08/25 10:18:29 AM MDT,Post-Doctoral researcher,0,10,1,6.0,7.0,Yes,Yes,No,1500.0,
16,2020/08/25 10:22:08 AM MDT,Professor/Investigator,4,3,6,7.0,3.0,Depends on format of the meeting,Depends on the format,No,,"There need to be questions about the parts of conferences that aren't captured in virtual events. Eg. talking with other scientists, poster sessions, etc. The talks are just one part, and they are the easiest part to do virtually. But they aren't the whole conference."
17,2020/08/25 10:43:04 AM MDT,Professor/Investigator,10,10,5,8.0,8.0,Yes,Yes,Yes,,
18,2020/08/25 12:35:40 PM MDT,Professor/Investigator,6,2,2,3.0,5.0,Depends on format of the meeting,Yes,Yes,1500.0,
19,2020/08/25 12:41:15 PM MDT,Professor/Investigator,2,0,1,6.0,5.0,Yes,Yes,"Has not in the past, but will in the future",3000.0,"quality of feedback when presenting research virtually depends on how well the chat function is - the chat allows people who would not normally speak up to ask questions and make suggestions, it's also nice to have a documented record of people's feedback. "
20,2020/08/25 1:57:54 PM MDT,Graduate student,5,2,0,6.0,7.0,Depends on format of the meeting,Depends on the format,No,,
21,2020/08/25 2:43:14 PM MDT,Post-Doctoral researcher,1,2,0,8.0,10.0,Yes,Yes,"Has not in the past, but will in the future",2500.0,
22,2020/08/25 4:59:49 PM MDT,Post-Doctoral researcher,3,2,2,6.0,5.0,No,Depends on the format,Yes,1500.0,Virtual meetings suck. They're exhausting. They aren't social. They're more anxiety-inducing. The barrier to entry it's too low. There's no hallway to bump into people.
23,2020/08/26 12:51:19 AM MDT,Post-Doctoral researcher,3,0,2,7.0,9.0,Yes,Yes,"Has not in the past, but will in the future",1000.0,
24,2020/08/26 7:20:25 AM MDT,Graduate student,3,4,0,10.0,,Yes,Yes,Yes,2000.0,
25,2020/08/26 7:22:54 AM MDT,Graduate student,5,8,3,6.0,4.0,Depends on format of the meeting,Yes,No,1000.0,
26,2020/08/26 7:25:46 AM MDT,Professor/Investigator,10,3,1,5.0,4.0,No,Depends on the format,Yes,,"cost to me, or total cost? previous question is unclear."
27,2020/08/26 7:27:01 AM MDT,Post-Doctoral researcher,4,3,2,6.0,9.0,Depends on format of the meeting,Yes,Yes,2000.0,"Before COVID, I was a huge advocate of more virtual meetings to reduce the CO2 impact of academic travel. While I've attended several interesting talks and meetings virtually in the COVID-era, I've also found my attention severely taxed - sitting behind my own laptop at home, it's much too easy to do other things and not really get the most out of the talk.

For me, a hybrid solution would be ideal; talks are streamed, but I could go to a local meeting with a few others (e.g. <1 travel) to watch the talks together. This would come with minimal CO2 and cost/time, while keeping the benefit of being concentrated for a meeting as well as some socializing and discussing the talks I've seen. I hope this format will take on, with many local hubs connected by video. This would surely beat meeting attendance at home for me."
28,2020/08/26 8:07:27 AM MDT,Professor/Investigator,10,10,10,10.0,7.0,Depends on cultural shifts in the field,Yes,"Has not in the past, but will in the future",1000.0,It's leveled the playing field for women and URMS and ECRs in a clique-free and dude-bro free way! 
29,2020/08/26 8:47:03 AM MDT,Post-Doctoral researcher,2,10,0,10.0,6.0,Yes,Yes,Yes,3000.0,
30,2020/08/26 8:51:33 AM MDT,Professor/Investigator,4,3,1,8.0,7.0,Depends on format of the meeting,Yes,"Has not in the past, but will in the future",1500.0,"Quality of virtual presentations is good but meetings are about more than the talks. My ability to focus on talks online is much less and my interactions with other scientists have been negligible. Typically, meetings have been an opportunity to get to know other people in the field and establish collaborations. This aspects of virtual meetings has been extremely disappointing. People need to think hard how to enable more virtual interactions beyond just the talks or posters."
31,2020/08/26 9:17:03 AM MDT,Graduate student,6,0,0,5.0,10.0,Yes,Yes,Yes,1000.0,
32,2020/08/26 10:39:38 AM MDT,Post-Doctoral researcher,5,8,4,2.0,2.0,Depends on format of the meeting,Depends on the format,"Has not in the past, but will in the future",1000.0,"For me the primary benefits of in-person conferences are informal communication and getting to know new people, rather than knowledge dissemination. It would be great to find a virtual solution to these, since conducting good science (as well as surviving the academic system) are very much dependent on them."
